,user_msg,expected_intent,expected_class,expected_attributes,expected_filter_attributes,processed_attributes,processed_filters,find_entity,find_intent
396,add an article with title='behind the intents: an in-depth empirical study on software refactoring in modern code review',ADD,article,{'title': 'Behind the intents: An in-depth empirical study on software refactoring in modern'},,"{'intents': 'intents', 'refactoring': 'refactoring', 'modern_code': 'modern code', 'review': 'review'}",{},software,ADD
397,"update the article with id=6, setting the
year=2020",UPDATE,article,{'year': '2020'},{'id': '6'},{'year': 'year'},{'id': 'id'},article,UPDATE
398,"include student with name=matheus freitas, email=fernandes.matheus@aluno.uece.br",ADD,student,"{'name': 'Matheus Freitas', 'email': 'fernandes.matheus@aluno.uece.b'}",,"{'student': 'student', 'name': 'name', 'br': 'freitas'}",{},e_mail,ADD
399,show me all student,READ,student,,,{'student': 'student'},{},st,READ
400,"add an article with title=building microservices: using an api gateway, author=chris richardson",ADD,article,"{'title': 'Building Microservices: Using an API Gateway', 'author': 'Chris Richardson'}",,"{'gateway': 'gateway', 'author': 'author'}",{},api_gateway,ADD
401,"add an article with title=introduction to microservices, author=chris richardson",ADD,article,"{'title': 'Introduction to MIcroservices', 'author': 'Chris Richardson'}",,"{'title': 'title', 'introduction': 'introduction', 'microservices': 'microservices'}",{},microservices,ADD
402,"update the article with id=7, setting the year=2018",UPDATE,article,{'year': '2018'},{'id': '7'},{'year': 'year'},{'id': 'id'},article,UPDATE
403,"add a subject with name=""data structures"" and professor=""ana luiza""",ADD,subject,"{'name': 'Data Structures', 'professor': 'Ana Luiza'}",,"{'name': 'name', 'data': 'name', 'structures': 'name', 'professor': 'name'}",{},data_structures,ADD
404,"add a subject with name=""data structures"" and professor=""josé negreiros""",ADD,subject,"{'name': 'Data Structures', 'professor': 'José Negreiros'}",,"{'name': 'name', 'data': 'name', 'structures': 'name'}",{},data_structures,ADD
405,get subject,READ,subject,,,{},{},a,READ
406,"add a subject with name ""linear algebra"" and professor=""thelmo pontes""",ADD,subject,"{'name': 'Linear Algebra', 'professor': 'Telmo Pontes'}",,"{'name': 'name', '""': 'algebra'}",{},linear_algebra,ADD
407,"update the subject with name=""linear algebra"", setting professor=""thelmo pontes""",UPDATE,subject,{'professor': 'Thelmo Pontes'},{'name': 'Linear Algebra'},{'professor': 'professor'},{'subject': 'name'},linear_algebra,UPDATE
408,"update the subject with id=3, setting professor=""thelmo pontes""",UPDATE,subject,{'professor': 'Thelmo Pontes'},{'id': '3'},{'professor': 'professor'},{'subject': 'id'},thelmo_pontes,UPDATE
409,"update the subject where name=""data structures"", setting semester=""2023.1""",UPDATE,subject,{'name': 'Data Structures'},{'semester': '2023.1'},{},None,data_structures,UPDATE
410,get subjects,READ,subject,,,{'subjects': 'subject'},{},a,READ
411,"update the subject with name=""data structures"", setting semester=""2023.1""",UPDATE,subject,{'semester': '2023.1'},{'name': 'Data Structures'},"{'structures': 'data', 'semester': 'semester'}",{'subject': 'name'},2023_1,UPDATE
413,"update the subject where name=""data structures"", setting the semester=""2023.1""",UPDATE,subject,{'semester': '2023.1'},{'name': 'Data Structures'},{},None,data_structures,UPDATE
414,"update the subject where semester=""2023.1"", setting name=""data structures""",UPDATE,subject,{'name': 'Data Structures'},{'semester': '2023.1'},{},None,2023_1,UPDATE
415,add a subject with name='brazilian history',ADD,subject,{'name': 'Brazilian History'},,{'name': 'name'},{},Brazilian_history,ADD
416,get all subjects,READ,subject,,,{},{},a,READ
417,"update subject with id=4, setting the main reference to 'brasil, uma história'",UPDATE,subject,"{'main_reference': ""to 'Brasil, uma História""}",{'id': '4'},{'main_reference': 'main reference'},{'id': 'id'},subject,UPDATE
419,get pizzas,READ,pizza,,,{},{},pizza,READ
420,add a pizza with flavour='pepperoni',ADD,pizza,{'flavour': 'pepperoni'},,"{'flavour': 'flavour', 'pepperoni': 'flavour'}",{},pizza,ADD
421,show pizzas,READ,pizza,,,{'show': 'show'},{},pizza,DELETE
422,add a ice cream with flavour=vanilla,ADD,ice_cream,{'flavour': 'vanilla'},,"{'ice': 'ice', 'cream': 'ice', 'flavour': 'ice'}",{},vanilla,ADD
423,show ice creams,READ,ice_cream,,,"{'show': 'show', 'ice': 'show', 'creams': 'show'}",{},ice_creams,DELETE
424,show me all ice cream,READ,ice_cream,,,"{'ice': 'ice', 'cream': 'ice'}",{},ice_cream,READ
425,add student with name=sergio,ADD,student,{'name': 'Sergio'},,"{'student': 'student', 'name': 'name'}",{},sergio,ADD
426,show me student where name=sergii,READ,student,{'name': 'sergii'},,{'student': 'where name=sergii'},{},sergii,READ
427,show me student where name=sergio,READ,student,{'name': 'Sergio'},,"{'student': 'student', 'name': 'name'}",{},sergio,READ
428,show me student where name=sergio; drop students,READ,student,{'name': 'Sergio'},,"{'student': 'student', 'students': 'students'}",{},sergio,READ
429,show me student where name='sergio; drop students',READ,student,{'name': 'Sergio'},,"{'student': 'student', 'students': 'students'}",{},sergio,READ
430,add students where name=injection;drop students,ADD,student,{'name': 'Injection'},,{'students': 'where name=injection;drop students'},{},drop,ADD
431,add students where name='injection;drop students',ADD,student,{'name': 'Injection;DROP students'},,{'students': 'students'},{},injection,ADD
432,delete student name=injection,DELETE,student,{'name': 'Injection'},,{'student': 'name=injection'},{},e_mail,DELETE
433,delete student name='injection;drop students;',DELETE,student,{'name': 'Injection'},,"{'student': ""name='injection;drop students;""}",{},injection,DELETE
434,delete student name='injection;drop students',DELETE,student,{'name': 'Injection;DROP students'},,"{'student': ""name='injection;drop students""}",{},injection,DELETE
435,delete student name='--injection;drop students',DELETE,student,{'name': '--Injection;DROP students'},,"{'student': ""name='--injection;drop students""}",{},__injection,DELETE
436,"update the article with id=9, setting the author=darcio",UPDATE,article,{'author': 'Darcio'},{'id': '9'},{'author': 'author'},{'id': 'id'},Article,UPDATE
437,"update the article with id=9, setting the year=darcio",UPDATE,article,{'year': 'Darcio'},{'id': '9'},{'year': 'year'},{'id': 'id'},article,UPDATE
438,"update the article with id=9, setting the year=2023",UPDATE,article,{'year': '2023'},{'id': '9'},{'year': 'year'},{'id': 'id'},article,UPDATE
439,"update the article with id=9, setting the co-author=souza",UPDATE,article,{'co_author': 'Souza'},{'id': '9'},{'co_author': 'co-author'},{'id': 'id'},article,UPDATE
440,add an article with title = 'apis modernas e assincronas com python',ADD,article,{'title': 'APIs Modernas e Assincronas com Python'},,{'title': 'apis modernas e assincronas com'},{},python,ADD
442,get all entities,READ,entities,,,{},{},entity,READ
443,"update the article with id=10, setting the year=2023",UPDATE,article,{'year': '2023'},{'id': '10'},{'year': 'year'},{'id': 'id'},article,UPDATE
444,delete all articles with id=8,DELETE,article,{'id': '8'},,{'id': 'id'},{},article,DELETE
445,"update the article with id=10, setting the author='odivon'",UPDATE,article,{'author': 'Odivon'},{'id': '10'},{'author': 'author'},{'id': 'id'},article,UPDATE
446,can you save a article named “architecture guide”?,ADD,article,{'name': 'architecture guide'},,{'article': 'article'},{},architecture_guide,DELETE
447,add article great,ADD,article,,,{},{},article,ADD
448,add article with description = ‘the architecture guide”,ADD,article,{'description': 'The Architecture Guide”'},,"{'description': 'description', 'architecture': 'description', 'guide': 'description'}",{},article,ADD
449,update article id=11 set author=‘leo siebra’,UPDATE,article,{'author': 'Leo Siebra'},{'id': '11'},None,None,None,None
450,update article id=11  author=‘leo siebra’,UPDATE,article,{'author': 'Leo Siebra'},{'id': '11'},None,None,None,None
451,get my articles,READ,article,,,{},{},article,READ
452,add a product type=book,ADD,product,{'type': 'book'},,{'product': 'type=book'},{},book,ADD
453,get products,READ,product,,,{'products': 'products'},{},get_products,READ
454,show article id=2,READ,article,{'id': '2'},,{'id': 'id'},{},article,READ
455,show article where id=5,READ,article,{'id': '5'},,{'id': 'id'},{},article,READ
456,show article where id=1,READ,article,{'id': '1'},,{'id': 'id'},{},article,READ
457,"update article with id=11, setting the author=leo siebra",UPDATE,article,{'author': 'Leo Siebra'},{'id': '11'},{'author': 'author'},{'id': 'id'},article,UPDATE
458,show me the article with id=11,READ,article,{'id': '11'},,{'id': 'id'},{},article,READ
459,"please add a article with title='attention is all you need', year=2022, author=""alex nogueira"", keywords=['attention']",ADD,article,"{'title': 'Attention is all you need', 'year': '2022', 'author': 'Alex Nogueira', 'keywords': 'Attention'}",,"{'title': 'title', 'year': 'year', 'author': 'author', ']': 'nogueira'}",{},Attention,ADD
460,"add article with title='attention is all you need', year=2022, author=""alex nogueira"", keywords=['attention']",ADD,article,"{'title': 'Attention is all you need', 'year': '2022', 'author': 'Alex Nogueira', 'keywords': 'Attention'}",,"{'year': 'year', 'author': 'author', 'article': 'nogueira'}",{},article,ADD
461,"update article with id=12, setting revision=1",UPDATE,article,{'revision': '1'},{'id': '12'},{'revision': 'revision'},{'id': 'id'},article,UPDATE
462,add a movie with title='batman begins',ADD,film,{'title': 'Batman Begins'},,{'title': 'title'},{},film,ADD
463,"add a movie with title='the dark knight', ""running time""=152",ADD,film,"{'title': 'The Dark Knight', 'running_time': '152'}",,{'movie': '152'},{},152,ADD
464,get all students with name='anderson',READ,student,{'name': 'Anderson'},,"{'students': 'students', 'name': 'name'}",{},anderson,READ
465,add a former teacher with name='onelia',ADD,former_teacher,{'name': 'Onelia'},,"{'former_teacher': 'teacher', 'name': 'name', 'onelia': 'name'}",{},a_former_teacher,ADD
466,add an invoice with value=100,ADD,invoice,{'value': '100'},,{'invoice': '100'},{},value_100,ADD
467,get all invoice,READ,invoice,,,{},{},invoice,READ
468,add car with license=2020,ADD,car,{'license': '2020'},,{'car': 'license=2020'},{},license,ADD
469,add car with color=black,ADD,car,{'color': 'black'},,{'car': 'color=black'},{},color,ADD
470,get all cars,READ,car,,,{},{},car,READ
